NPC名	X座標	Y座標	★
霊亀：北西砦29	515	575	★4
霊亀：南西砦30	515	563	★4
霊亀：南西砦31	515	539	★4
霊亀：南西砦32	515	527	★4
霊亀：北東砦33	611	611	★5
霊亀：北東砦34	599	611	★5
霊亀：北東砦35	587	611	★5
霊亀：北西砦36	563	611	★5
霊亀：北西砦37	551	611	★5
霊亀：北西砦38	539	611	★5
霊亀：南東砦39	611	539	★5
霊亀：南東砦40	599	539	★5
霊亀：南東砦41	587	539	★5
霊亀：南西砦42	563	539	★5
霊亀：南西砦43	551	539	★5
霊亀：南西砦44	539	539	★5
霊亀：北東砦45	611	599	★5
霊亀：北東砦46	611	587	★5
霊亀：南東砦47	611	563	★5
霊亀：南東砦48	611	551	★5
霊亀：北西砦49	539	599	★5
霊亀：北西砦50	539	587	★5
霊亀：南西砦51	539	563	★5
霊亀：南西砦52	539	551	★5
応龍：北東砦1	635	-515	★4
応龍：北東砦2	623	-515	★4
応龍：北東砦3	611	-515	★4
応龍：北東砦4	587	-515	★4
応龍：北東砦5	575	-515	★4
応龍：北西砦6	563	-515	★4
応龍：北西砦7	539	-515	★4
応龍：北西砦8	527	-515	★4
応龍：北西砦9	515	-515	★4
応龍：南東砦10	635	-635	★4
応龍：南東砦11	623	-635	★4
応龍：南東砦12	611	-635	★4
応龍：南東砦13	587	-635	★4
応龍：南東砦14	575	-635	★4
応龍：南西砦15	563	-635	★4
応龍：南西砦16	539	-635	★4
応龍：南西砦17	527	-635	★4
応龍：南西砦18	515	-635	★4
応龍：北東砦19	635	-527	★4
応龍：北東砦20	635	-539	★4
応龍：北東砦21	635	-563	★4
応龍：北東砦22	635	-575	★4
応龍：南東砦23	635	-587	★4
応龍：南東砦24	635	-611	★4
応龍：南東砦25	635	-623	★4
応龍：北西砦26	515	-527	★4
応龍：北西砦27	515	-539	★4
応龍：北西砦28	515	-563	★4
応龍：北西砦29	515	-575	★4
応龍：南西砦30	515	-587	★4
応龍：南西砦31	515	-611	★4
応龍：南西砦32	515	-623	★4
応龍：北東砦33	611	-539	★5
応龍：北東砦34	599	-539	★5
応龍：北東砦35	587	-539	★5
応龍：北西砦36	563	-539	★5
応龍：北西砦37	551	-539	★5
応龍：北西砦38	539	-539	★5
応龍：南東砦39	611	-611	★5
応龍：南東砦40	599	-611	★5
応龍：南東砦41	587	-611	★5
応龍：南西砦42	563	-611	★5
応龍：南西砦43	551	-611	★5
応龍：南西砦44	539	-611	★5
応龍：北東砦45	611	-551	★5
応龍：北東砦46	611	-563	★5
応龍：南東砦47	611	-587	★5
応龍：南東砦48	611	-599	★5
応龍：北西砦49	539	-551	★5
応龍：北西砦50	539	-563	★5
応龍：南西砦51	539	-587	★5
応龍：南西砦52	539	-599	★5
麒麟：北東砦1	-515	-515	★4
麒麟：北東砦2	-527	-515	★4
麒麟：北東砦3	-539	-515	★4
麒麟：北東砦4	-563	-515	★4
麒麟：北東砦5	-575	-515	★4
麒麟：北西砦6	-587	-515	★4
麒麟：北西砦7	-611	-515	★4
麒麟：北西砦8	-623	-515	★4
麒麟：北西砦9	-635	-515	★4
麒麟：南東砦10	-515	-635	★4
麒麟：南東砦11	-527	-635	★4
麒麟：南東砦12	-539	-635	★4
麒麟：南東砦13	-563	-635	★4
麒麟：南東砦14	-575	-635	★4
麒麟：南西砦15	-587	-635	★4
麒麟：南西砦16	-611	-635	★4
麒麟：南西砦17	-623	-635	★4
麒麟：南西砦18	-635	-635	★4
麒麟：北東砦19	-515	-527	★4
麒麟：北東砦20	-515	-539	★4
麒麟：北東砦21	-515	-563	★4
麒麟：北東砦22	-515	-575	★4
麒麟：南東砦23	-515	-587	★4
麒麟：南東砦24	-515	-611	★4
麒麟：南東砦25	-515	-623	★4
麒麟：北西砦26	-635	-527	★4
麒麟：北西砦27	-635	-539	★4
麒麟：北西砦28	-635	-563	★4
麒麟：北西砦29	-635	-575	★4
麒麟：南西砦30	-635	-587	★4
麒麟：南西砦31	-635	-611	★4
麒麟：南西砦32	-635	-623	★4
麒麟：北東砦33	-539	-539	★5
麒麟：北東砦34	-551	-539	★5
麒麟：北東砦35	-563	-539	★5
麒麟：北西砦36	-587	-539	★5
麒麟：北西砦37	-599	-539	★5
麒麟：北西砦38	-611	-539	★5
麒麟：南東砦39	-539	-611	★5
麒麟：南東砦40	-551	-611	★5
麒麟：南東砦41	-563	-611	★5
麒麟：南西砦42	-587	-611	★5
麒麟：南西砦43	-599	-611	★5
麒麟：南西砦44	-611	-611	★5
麒麟：北東砦45	-539	-551	★5
麒麟：北東砦46	-539	-563	★5
麒麟：南東砦47	-539	-587	★5
麒麟：南東砦48	-539	-599	★5
麒麟：北西砦49	-611	-551	★5
麒麟：北西砦50	-611	-563	★5
麒麟：南西砦51	-611	-587	★5
麒麟：南西砦52	-611	-599	★5
鳳凰：北東砦1	-515	635	★4
鳳凰：北東砦2	-527	635	★4
鳳凰：北東砦3	-539	635	★4
鳳凰：北東砦4	-563	635	★4
鳳凰：北東砦5	-575	635	★4
鳳凰：北西砦6	-587	635	★4
鳳凰：北西砦7	-611	635	★4
鳳凰：北西砦8	-623	635	★4
鳳凰：北西砦9	-635	635	★4
鳳凰：南東砦10	-515	515	★4
鳳凰：南東砦11	-527	515	★4
鳳凰：南東砦12	-539	515	★4
鳳凰：南東砦13	-563	515	★4
鳳凰：南東砦14	-575	515	★4
鳳凰：南西砦15	-587	515	★4
鳳凰：南西砦16	-611	515	★4
鳳凰：南西砦17	-623	515	★4
鳳凰：南西砦18	-635	515	★4
鳳凰：北東砦19	-515	623	★4
鳳凰：北東砦20	-515	611	★4
鳳凰：北東砦21	-515	587	★4
鳳凰：北東砦22	-515	575	★4
鳳凰：南東砦23	-515	563	★4
鳳凰：南東砦24	-515	539	★4
鳳凰：南東砦25	-515	527	★4
鳳凰：北西砦26	-635	623	★4
鳳凰：北西砦27	-635	611	★4
鳳凰：北西砦28	-635	587	★4
鳳凰：北西砦29	-635	575	★4
鳳凰：南西砦30	-635	563	★4
鳳凰：南西砦31	-635	539	★4
鳳凰：南西砦32	-635	527	★4
鳳凰：北東砦33	-539	611	★5
鳳凰：北東砦34	-551	611	★5
鳳凰：北東砦35	-563	611	★5
鳳凰：北西砦36	-587	611	★5
鳳凰：北西砦37	-599	611	★5
鳳凰：北西砦38	-611	611	★5
鳳凰：南東砦39	-539	539	★5
鳳凰：南東砦40	-551	539	★5
鳳凰：南東砦41	-563	539	★5
鳳凰：南西砦42	-587	539	★5
鳳凰：南西砦43	-599	539	★5
鳳凰：南西砦44	-611	539	★5
鳳凰：北東砦45	-539	599	★5
鳳凰：北東砦46	-539	587	★5
鳳凰：南東砦47	-539	563	★5
鳳凰：南東砦48	-539	551	★5
鳳凰：北西砦49	-611	599	★5
鳳凰：北西砦50	-611	587	★5
鳳凰：南西砦51	-611	563	★5
鳳凰：南西砦52	-611	551	★5
坎宮：北東砦1	-189	1176	★5
坎宮：北東砦2	-201	1176	★5
坎宮：北東砦3	-213	1176	★5
坎宮：北西砦4	-237	1176	★5
坎宮：北西砦5	-249	1176	★5
坎宮：北西砦6	-261	1176	★5
坎宮：南東砦7	-189	1104	★5
坎宮：南東砦8	-201	1104	★5
坎宮：南東砦9	-213	1104	★5
坎宮：南西砦10	-237	1104	★5
坎宮：南西砦11	-249	1104	★5
坎宮：南西砦12	-261	1104	★5
坎宮：北東砦13	-189	1164	★5
坎宮：北東砦14	-189	1152	★5
坎宮：南東砦15	-189	1128	★5
坎宮：南東砦16	-189	1116	★5
坎宮：北西砦17	-261	1164	★5
坎宮：北西砦18	-261	1152	★5
坎宮：南西砦19	-261	1128	★5
坎宮：南西砦20	-261	1116	★5
一白：北東砦1	261	1176	★5
一白：北東砦2	249	1176	★5
一白：北東砦3	237	1176	★5
一白：北西砦4	213	1176	★5
一白：北西砦5	201	1176	★5
一白：北西砦6	189	1176	★5
一白：南東砦7	261	1104	★5
一白：南東砦8	249	1104	★5
一白：南東砦9	237	1104	★5
一白：南西砦10	213	1104	★5
一白：南西砦11	201	1104	★5
一白：南西砦12	189	1104	★5
一白：北東砦13	261	1164	★5
一白：北東砦14	261	1152	★5
一白：南東砦15	261	1128	★5
一白：南東砦16	261	1116	★5
一白：北西砦17	189	1164	★5
一白：北西砦18	189	1152	★5
一白：南西砦19	189	1128	★5
一白：南西砦20	189	1116	★5
艮宮：北東砦1	816	1136	★5
艮宮：北東砦2	804	1136	★5
艮宮：北東砦3	792	1136	★5
艮宮：北西砦4	768	1136	★5
艮宮：北西砦5	756	1136	★5
艮宮：北西砦6	744	1136	★5
艮宮：南東砦7	816	1064	★5
艮宮：南東砦8	804	1064	★5
艮宮：南東砦9	792	1064	★5
艮宮：南西砦10	768	1064	★5
艮宮：南西砦11	756	1064	★5
艮宮：南西砦12	744	1064	★5
艮宮：北東砦13	816	1124	★5
艮宮：北東砦14	816	1112	★5
艮宮：南東砦15	816	1088	★5
艮宮：南東砦16	816	1076	★5
艮宮：北西砦17	744	1124	★5
艮宮：北西砦18	744	1112	★5
艮宮：南西砦19	744	1088	★5
艮宮：南西砦20	744	1076	★5
八白：北東砦1	1136	816	★5
八白：北東砦2	1124	816	★5
八白：北東砦3	1112	816	★5
八白：北西砦4	1088	816	★5
八白：北西砦5	1076	816	★5
八白：北西砦6	1064	816	★5
八白：南東砦7	1136	744	★5
八白：南東砦8	1124	744	★5
八白：南東砦9	1112	744	★5
八白：南西砦10	1088	744	★5
八白：南西砦11	1076	744	★5
八白：南西砦12	1064	744	★5
八白：北東砦13	1136	804	★5
八白：北東砦14	1136	792	★5
八白：南東砦15	1136	768	★5
八白：南東砦16	1136	756	★5
八白：北西砦17	1064	804	★5
八白：北西砦18	1064	792	★5
八白：南西砦19	1064	768	★5
八白：南西砦20	1064	756	★5
震宮：北東砦1	1176	261	★5
震宮：北東砦2	1164	261	★5
震宮：北東砦3	1152	261	★5
震宮：北西砦4	1128	261	★5
震宮：北西砦5	1116	261	★5
震宮：北西砦6	1104	261	★5
震宮：南東砦7	1176	189	★5
震宮：南東砦8	1164	189	★5
震宮：南東砦9	1152	189	★5
震宮：南西砦10	1128	189	★5
震宮：南西砦11	1116	189	★5
震宮：南西砦12	1104	189	★5
震宮：北東砦13	1176	249	★5
震宮：北東砦14	1176	237	★5
震宮：南東砦15	1176	213	★5
震宮：南東砦16	1176	201	★5
震宮：北西砦17	1104	249	★5
震宮：北西砦18	1104	237	★5
震宮：南西砦19	1104	213	★5
震宮：南西砦20	1104	201	★5
三碧：北東砦1	1176	-189	★5
三碧：北東砦2	1164	-189	★5
三碧：北東砦3	1152	-189	★5
三碧：北西砦4	1128	-189	★5
三碧：北西砦5	1116	-189	★5
三碧：北西砦6	1104	-189	★5
三碧：南東砦7	1176	-261	★5
三碧：南東砦8	1164	-261	★5
三碧：南東砦9	1152	-261	★5
三碧：南西砦10	1128	-261	★5
三碧：南西砦11	1116	-261	★5
三碧：南西砦12	1104	-261	★5
三碧：北東砦13	1176	-201	★5
三碧：北東砦14	1176	-213	★5
三碧：南東砦15	1176	-237	★5
三碧：南東砦16	1176	-249	★5
三碧：北西砦17	1104	-201	★5
三碧：北西砦18	1104	-213	★5
三碧：南西砦19	1104	-237	★5
三碧：南西砦20	1104	-249	★5
巽宮：北東砦1	1136	-744	★5
巽宮：北東砦2	1124	-744	★5
巽宮：北東砦3	1112	-744	★5
巽宮：北西砦4	1088	-744	★5
巽宮：北西砦5	1076	-744	★5
巽宮：北西砦6	1064	-744	★5
巽宮：南東砦7	1136	-816	★5
巽宮：南東砦8	1124	-816	★5
巽宮：南東砦9	1112	-816	★5
巽宮：南西砦10	1088	-816	★5
巽宮：南西砦11	1076	-816	★5
巽宮：南西砦12	1064	-816	★5
巽宮：北東砦13	1136	-756	★5
巽宮：北東砦14	1136	-768	★5
巽宮：南東砦15	1136	-792	★5
巽宮：南東砦16	1136	-804	★5
巽宮：北西砦17	1064	-756	★5
巽宮：北西砦18	1064	-768	★5
巽宮：南西砦19	1064	-792	★5
巽宮：南西砦20	1064	-804	★5
四緑：北東砦1	816	-1064	★5
四緑：北東砦2	804	-1064	★5
四緑：北東砦3	792	-1064	★5
四緑：北西砦4	768	-1064	★5
四緑：北西砦5	756	-1064	★5
四緑：北西砦6	744	-1064	★5
四緑：南東砦7	816	-1136	★5
四緑：南東砦8	804	-1136	★5
四緑：南東砦9	792	-1136	★5
四緑：南西砦10	768	-1136	★5
四緑：南西砦11	756	-1136	★5
四緑：南西砦12	744	-1136	★5
四緑：北東砦13	816	-1076	★5
四緑：北東砦14	816	-1088	★5
四緑：南東砦15	816	-1112	★5
四緑：南東砦16	816	-1124	★5
四緑：北西砦17	744	-1076	★5
四緑：北西砦18	744	-1088	★5
四緑：南西砦19	744	-1112	★5
四緑：南西砦20	744	-1124	★5
離宮：北東砦1	261	-1104	★5
離宮：北東砦2	249	-1104	★5
離宮：北東砦3	237	-1104	★5
離宮：北西砦4	213	-1104	★5
離宮：北西砦5	201	-1104	★5
離宮：北西砦6	189	-1104	★5
離宮：南東砦7	261	-1176	★5
離宮：南東砦8	249	-1176	★5
離宮：南東砦9	237	-1176	★5
離宮：南西砦10	213	-1176	★5
離宮：南西砦11	201	-1176	★5
離宮：南西砦12	189	-1176	★5
離宮：北東砦13	261	-1116	★5
離宮：北東砦14	261	-1128	★5
離宮：南東砦15	261	-1152	★5
離宮：南東砦16	261	-1164	★5
離宮：北西砦17	189	-1116	★5
離宮：北西砦18	189	-1128	★5
離宮：南西砦19	189	-1152	★5
離宮：南西砦20	189	-1164	★5
九紫：北東砦1	-189	-1104	★5
九紫：北東砦2	-201	-1104	★5
九紫：北東砦3	-213	-1104	★5
九紫：北西砦4	-237	-1104	★5
九紫：北西砦5	-249	-1104	★5
九紫：北西砦6	-261	-1104	★5
九紫：南東砦7	-189	-1176	★5
九紫：南東砦8	-201	-1176	★5
九紫：南東砦9	-213	-1176	★5
九紫：南西砦10	-237	-1176	★5
九紫：南西砦11	-249	-1176	★5
九紫：南西砦12	-261	-1176	★5
九紫：北東砦13	-189	-1116	★5
九紫：北東砦14	-189	-1128	★5
九紫：南東砦15	-189	-1152	★5
九紫：南東砦16	-189	-1164	★5
九紫：北西砦17	-261	-1116	★5
九紫：北西砦18	-261	-1128	★5
九紫：南西砦19	-261	-1152	★5
九紫：南西砦20	-261	-1164	★5
坤宮：北東砦1	-1064	-744	★5
坤宮：北東砦2	-1076	-744	★5
坤宮：北東砦3	-1088	-744	★5
坤宮：北西砦4	-1112	-744	★5
坤宮：北西砦5	-1124	-744	★5
坤宮：北西砦6	-1136	-744	★5
坤宮：南東砦7	-1064	-816	★5
坤宮：南東砦8	-1076	-816	★5
坤宮：南東砦9	-1088	-816	★5
坤宮：南西砦10	-1112	-816	★5
坤宮：南西砦11	-1124	-816	★5
坤宮：南西砦12	-1136	-816	★5
坤宮：北東砦13	-1064	-756	★5
坤宮：北東砦14	-1064	-768	★5
坤宮：南東砦15	-1064	-792	★5
坤宮：南東砦16	-1064	-804	★5
坤宮：北西砦17	-1136	-756	★5
坤宮：北西砦18	-1136	-768	★5
坤宮：南西砦19	-1136	-792	★5
坤宮：南西砦20	-1136	-804	★5
二黒：北東砦1	-744	-1064	★5
二黒：北東砦2	-756	-1064	★5
二黒：北東砦3	-768	-1064	★5
二黒：北西砦4	-792	-1064	★5
二黒：北西砦5	-804	-1064	★5
二黒：北西砦6	-816	-1064	★5
二黒：南東砦7	-744	-1136	★5
二黒：南東砦8	-756	-1136	★5
二黒：南東砦9	-768	-1136	★5
二黒：南西砦10	-792	-1136	★5
二黒：南西砦11	-804	-1136	★5
二黒：南西砦12	-816	-1136	★5
二黒：北東砦13	-744	-1076	★5
二黒：北東砦14	-744	-1088	★5
二黒：南東砦15	-744	-1112	★5
二黒：南東砦16	-744	-1124	★5
二黒：北西砦17	-816	-1076	★5
二黒：北西砦18	-816	-1088	★5
二黒：南西砦19	-816	-1112	★5
二黒：南西砦20	-816	-1124	★5
兌宮：北東砦1	-1104	-189	★5
兌宮：北東砦2	-1116	-189	★5
兌宮：北東砦3	-1128	-189	★5
兌宮：北西砦4	-1152	-189	★5
兌宮：北西砦5	-1164	-189	★5
兌宮：北西砦6	-1176	-189	★5
兌宮：南東砦7	-1104	-261	★5
兌宮：南東砦8	-1116	-261	★5
兌宮：南東砦9	-1128	-261	★5
兌宮：南西砦10	-1152	-261	★5
兌宮：南西砦11	-1164	-261	★5
兌宮：南西砦12	-1176	-261	★5
兌宮：北東砦13	-1104	-201	★5
兌宮：北東砦14	-1104	-213	★5
兌宮：南東砦15	-1104	-237	★5
兌宮：南東砦16	-1104	-249	★5
兌宮：北西砦17	-1176	-201	★5
兌宮：北西砦18	-1176	-213	★5
兌宮：南西砦19	-1176	-237	★5
兌宮：南西砦20	-1176	-249	★5
七赤：北東砦1	-1104	261	★5
七赤：北東砦2	-1116	261	★5
七赤：北東砦3	-1128	261	★5
七赤：北西砦4	-1152	261	★5
七赤：北西砦5	-1164	261	★5
七赤：北西砦6	-1176	261	★5
七赤：南東砦7	-1104	189	★5
七赤：南東砦8	-1116	189	★5
七赤：南東砦9	-1128	189	★5
七赤：南西砦10	-1152	189	★5
七赤：南西砦11	-1164	189	★5
七赤：南西砦12	-1176	189	★5
七赤：北東砦13	-1104	249	★5
七赤：北東砦14	-1104	237	★5
七赤：南東砦15	-1104	213	★5
七赤：南東砦16	-1104	201	★5
七赤：北西砦17	-1176	249	★5
七赤：北西砦18	-1176	237	★5
七赤：南西砦19	-1176	213	★5
七赤：南西砦20	-1176	201	★5
乾宮：北東砦1	-1064	816	★5
乾宮：北東砦2	-1076	816	★5
乾宮：北東砦3	-1088	816	★5
乾宮：北西砦4	-1112	816	★5
乾宮：北西砦5	-1124	816	★5
乾宮：北西砦6	-1136	816	★5
乾宮：南東砦7	-1064	744	★5
乾宮：南東砦8	-1076	744	★5
乾宮：南東砦9	-1088	744	★5
乾宮：南西砦10	-1112	744	★5
乾宮：南西砦11	-1124	744	★5
乾宮：南西砦12	-1136	744	★5
乾宮：北東砦13	-1064	804	★5
乾宮：北東砦14	-1064	792	★5
乾宮：南東砦15	-1064	768	★5
乾宮：南東砦16	-1064	756	★5
乾宮：北西砦17	-1136	804	★5
乾宮：北西砦18	-1136	792	★5
乾宮：南西砦19	-1136	768	★5
乾宮：南西砦20	-1136	756	★5
六白：北東砦1	-744	1136	★5
六白：北東砦2	-756	1136	★5
六白：北東砦3	-768	1136	★5
六白：北西砦4	-792	1136	★5
六白：北西砦5	-804	1136	★5
六白：北西砦6	-816	1136	★5
六白：南東砦7	-744	1064	★5
六白：南東砦8	-756	1064	★5
六白：南東砦9	-768	1064	★5
六白：南西砦10	-792	1064	★5
六白：南西砦11	-804	1064	★5
六白：南西砦12	-816	1064	★5
六白：北東砦13	-744	1124	★5
六白：北東砦14	-744	1112	★5
六白：南東砦15	-744	1088	★5
六白：南東砦16	-744	1076	★5
六白：北西砦17	-816	1124	★5
六白：北西砦18	-816	1112	★5
六白：南西砦19	-816	1088	★5
六白：南西砦20	-816	1076	★5
北東砦1	26	244	★2
北東砦2	24	288	★4
北東砦3	22	327	★5
北東砦4	19	374	★1
北東砦5	19	415	★2
北東砦6	23	462	★5
北東砦7	19	506	★5
北東砦8	24	547	★5
北東砦9	24	595	★2
北東砦10	18	638	★2
北東砦11	21	679	★4
北東砦12	20	722	★1
北東砦13	23	774	★2
北東砦14	24	947	★1
北東砦15	25	991	★5
北東砦16	22	1038	★4
北東砦17	47	221	★2
北東砦18	44	268	★2
北東砦19	47	304	★4
北東砦20	47	354	★3
北東砦21	43	393	★1
北東砦22	43	443	★2
北東砦23	43	484	★2
北東砦24	42	527	★3
北東砦25	41	574	★1
北東砦26	44	614	★3
北東砦27	47	663	★2
北東砦28	40	704	★3
北東砦29	46	744	★1
北東砦30	48	970	★1
北東砦31	46	1016	★3
北東砦32	70	244	★2
北東砦33	69	283	★1
北東砦34	63	333	★2
北東砦35	68	371	★3
北東砦36	66	420	★2
北東砦37	67	465	★1
北東砦38	70	503	★4
北東砦39	62	554	★3
北東砦40	70	594	★5
北東砦41	63	639	★3
北東砦42	67	684	★1
北東砦43	69	730	★2
北東砦44	68	772	★3
北東砦45	64	950	★5
北東砦46	68	991	★2
北東砦47	63	1036	★5
北東砦48	88	219	★4
北東砦49	90	261	★3
北東砦50	89	308	★1
北東砦51	84	349	★2
北東砦52	85	394	★3
北東砦53	90	442	★1
北東砦54	90	483	★2
北東砦55	89	526	★3
北東砦56	91	571	★3
北東砦57	87	620	★2
北東砦58	87	659	★2
北東砦59	91	700	★3
北東砦60	86	748	★5
北東砦61	91	790	★2
北東砦62	90	835	★1
北東砦63	91	879	★4
北東砦64	89	922	★4
北東砦65	85	964	★1
北東砦66	85	1008	★1
北東砦67	108	245	★1
北東砦68	113	282	★3
北東砦69	111	332	★2
北東砦70	114	376	★3
北東砦71	106	419	★2
北東砦72	111	466	★5
北東砦73	107	503	★1
北東砦74	114	546	★3
北東砦75	113	590	★5
北東砦76	110	638	★5
北東砦77	109	685	★4
北東砦78	109	730	★2
北東砦79	112	771	★2
北東砦80	108	817	★5
北東砦81	109	860	★2
北東砦82	111	906	★5
北東砦83	114	946	★3
北東砦84	114	992	★2
北東砦85	112	1035	★2
北東砦86	134	218	★3
北東砦87	132	265	★5
北東砦88	132	305	★4
北東砦89	130	354	★3
北東砦90	130	392	★1
北東砦91	128	438	★4
北東砦92	129	482	★2
北東砦93	132	531	★1
北東砦94	132	576	★2
北東砦95	136	619	★1
北東砦96	133	663	★4
北東砦97	128	700	★2
北東砦98	134	752	★2
北東砦99	133	795	★4
北東砦100	133	839	★2
北東砦101	136	880	★4
北東砦102	136	927	★3
北東砦103	129	969	★1
北東砦104	135	1014	★1
北東砦105	133	1060	★2
北東砦106	128	1096	★3
北東砦107	135	1145	★4
北東砦108	130	1191	★2
北東砦109	131	1233	★3
北東砦110	133	1278	★3
北東砦111	155	246	★5
北東砦112	158	282	★2
北東砦113	157	330	★3
北東砦114	150	372	★1
北東砦115	152	414	★3
北東砦116	152	458	★4
北東砦117	154	502	★2
北東砦118	151	548	★1
北東砦119	157	592	★1
北東砦120	152	641	★3
北東砦121	152	679	★4
北東砦122	155	728	★5
北東砦123	154	768	★1
北東砦124	150	811	★1
北東砦125	157	857	★5
北東砦126	153	902	★3
北東砦127	150	943	★2
北東砦128	158	989	★2
北東砦129	150	1038	★1
北東砦130	155	1082	★1
北東砦131	154	1120	★4
北東砦132	152	1167	★4
北東砦133	158	1207	★3
北東砦134	152	1254	★2
北東砦135	177	223	★1
北東砦136	180	261	★3
北東砦137	177	312	★4
北東砦138	175	353	★2
北東砦139	178	392	★2
北東砦140	176	442	★4
北東砦141	179	483	★1
北東砦142	174	529	★3
北東砦143	172	570	★3
北東砦144	180	620	★1
北東砦145	175	662	★1
北東砦146	172	708	★5
北東砦147	178	752	★2
北東砦148	177	792	★1
北東砦149	173	833	★5
北東砦150	175	880	★3
北東砦151	180	921	★3
北東砦152	177	971	★3
北東砦153	173	1013	★2
北東砦154	174	1059	★2
北東砦155	176	1235	★3
北東砦156	180	1275	★5
北東砦157	202	240	★1
北東砦158	202	284	★2
北東砦159	194	327	★5
北東砦160	195	374	★4
北東砦161	194	420	★1
北東砦162	197	464	★1
北東砦163	197	510	★1
北東砦164	200	553	★1
北東砦165	199	596	★2
北東砦166	194	639	★4
北東砦167	202	679	★4
北東砦168	196	725	★5
北東砦169	198	770	★2
北東砦170	194	814	★1
北東砦171	194	856	★5
北東砦172	194	906	★3
北東砦173	201	949	★5
北東砦174	202	991	★1
北東砦175	197	1035	★4
北東砦176	199	1074	★4
北東砦177	195	1207	★2
北東砦178	200	1256	★4
北東砦179	216	42	★2
北東砦180	223	84	★1
北東砦181	221	132	★1
北東砦182	221	179	★3
北東砦183	220	222	★2
北東砦184	220	264	★1
北東砦185	221	307	★1
北東砦186	219	351	★2
北東砦187	224	392	★2
北東砦188	216	441	★5
北東砦189	223	480	★5
北東砦190	221	526	★3
北東砦191	220	572	★1
北東砦192	220	614	★1
北東砦193	219	657	★1
北東砦194	220	707	★5
北東砦195	223	744	★5
北東砦196	223	793	★1
北東砦197	216	833	★5
北東砦198	221	884	★5
北東砦199	218	920	★3
北東砦200	217	971	★5
北東砦201	219	1012	★3
北東砦202	223	1053	★1
北東砦203	219	1229	★3
北東砦204	220	1277	★1
北東砦205	245	26	★4
北東砦206	239	65	★2
北東砦207	246	110	★1
北東砦208	246	153	★2
北東砦209	240	196	★3
北東砦210	243	241	★3
北東砦211	240	284	★2
北東砦212	242	331	★5
北東砦213	243	373	★2
北東砦214	246	421	★2
北東砦215	245	465	★3
北東砦216	242	505	★2
北東砦217	239	553	★5
北東砦218	240	590	★3
北東砦219	242	634	★4
北東砦220	242	685	★4
北東砦221	239	725	★2
北東砦222	238	771	★1
北東砦223	238	818	★3
北東砦224	242	859	★1
北東砦225	240	902	★2
北東砦226	245	944	★2
北東砦227	242	994	★5
北東砦228	244	1031	★4
北東砦229	243	1079	★2
北東砦230	243	1212	★3
北東砦231	242	1254	★3
北東砦232	263	48	★3
北東砦233	260	90	★5
北東砦234	268	136	★1
北東砦235	261	179	★3
北東砦236	260	219	★4
北東砦237	261	267	★5
北東砦238	260	304	★2
北東砦239	267	355	★1
北東砦240	262	392	★1
北東砦241	263	442	★5
北東砦242	263	484	★3
北東砦243	261	531	★1
北東砦244	265	575	★1
北東砦245	261	616	★2
北東砦246	261	656	★2
北東砦247	267	703	★2
北東砦248	268	747	★2
北東砦249	268	793	★3
北東砦250	261	840	★1
北東砦251	268	880	★2
北東砦252	266	921	★1
北東砦253	268	970	★2
北東砦254	265	1014	★2
北東砦255	265	1056	★2
北東砦256	263	1230	★3
北東砦257	268	1274	★2
北東砦258	288	21	★1
北東砦259	287	62	★2
北東砦260	282	108	★4
北東砦261	283	152	★5
北東砦262	283	198	★3
北東砦263	283	238	★2
北東砦264	286	290	★3
北東砦265	290	333	★4
北東砦266	284	372	★1
北東砦267	288	419	★2
北東砦268	286	463	★3
北東砦269	284	503	★1
北東砦270	282	548	★2
北東砦271	282	596	★5
北東砦272	282	639	★3
北東砦273	287	683	★1
北東砦274	286	725	★1
北東砦275	283	770	★3
北東砦276	282	817	★1
北東砦277	285	855	★3
北東砦278	282	901	★3
北東砦279	285	950	★3
北東砦280	289	991	★3
北東砦281	284	1035	★3
北東砦282	289	1078	★3
北東砦283	283	1119	★2
北東砦284	290	1168	★3
北東砦285	284	1213	★2
北東砦286	284	1256	★3
北東砦287	307	40	★1
北東砦288	312	86	★2
北東砦289	304	132	★5
北東砦290	309	176	★4
北東砦291	311	222	★5
北東砦292	310	262	★1
北東砦293	310	310	★3
北東砦294	304	351	★2
北東砦295	307	392	★1
北東砦296	310	439	★2
北東砦297	310	480	★5
北東砦298	309	524	★5
北東砦299	307	575	★5
北東砦300	309	616	★2
北東砦301	309	663	★3
北東砦302	310	707	★1
北東砦303	312	749	★1
北東砦304	309	796	★3
北東砦305	307	833	★3
北東砦306	310	879	★2
北東砦307	305	922	★2
北東砦308	311	965	★3
北東砦309	306	1013	★3
北東砦310	309	1059	★1
北東砦311	311	1096	★3
北東砦312	309	1143	★1
北東砦313	304	1185	★1
北東砦314	310	1228	★1
北東砦315	308	1273	★4
北東砦316	328	22	★2
北東砦317	333	67	★2
北東砦318	328	112	★3
北東砦319	326	157	★2
北東砦320	333	200	★1
北東砦321	334	239	★3
北東砦322	326	290	★5
北東砦323	333	327	★3
北東砦324	329	371	★5
北東砦325	326	416	★2
北東砦326	333	458	★2
北東砦327	327	505	★1
北東砦328	328	553	★4
北東砦329	329	594	★4
北東砦330	334	641	★4
北東砦331	331	683	★3
北東砦332	334	725	★1
北東砦333	327	774	★2
北東砦334	327	811	★2
